a52dec 0.8.0-2
knotifications 6.6.0-1
knotifyconfig 6.6.0-1
konsole 24.08.2-1
kpackage 6.6.0-1
kparts 6.6.0-1
kpipewire 6.2.0-1
kpty 6.6.0-1
kquickcharts 6.6.0-1
krb5 1.21.3-1
krdp 6.2.0-1
krunner 6.6.0-1
kscreen 6.2.0-1
kscreenlocker 6.2.0-1
kservice 6.6.0-1
ksshaskpass 6.2.0-1
kstatusnotifieritem 6.6.0-1
ksvg 6.6.0-1
ksystemstats 6.2.0-1
ktexteditor 6.6.0-1
ktextwidgets 6.6.0-1
kubectl 1.31.1-1
kunitconversion 6.6.0-1
kuserfeedback 6.6.0-1
kvantum 1.1.2-1
kwallet 6.6.0-1
kwallet-pam 6.2.0-1
kwayland 6.2.0-1
kwidgetsaddons 6.6.0-1
kwin 6.2.0-1
kwindowsystem 6.6.0-1
kwrited 6.2.0-1
kxmlgui 6.6.0-1
l-smash 2.14.5-4
lame 3.100-5
layer-shell-qt 6.2.0-1
lcms2 2.16-1
ldb 2:4.21.1-1
libaccounts-glib 1.27-2
libaccounts-qt 1.17-1
libadwaita 1:1.6.1-1
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-2
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.2.0-1
libblockdev-crypto 3.2.0-1
libblockdev-fs 3.2.0-1
libblockdev-loop 3.2.0-1
libblockdev-mdraid 3.2.0-1
libblockdev-nvme 3.2.0-1
libblockdev-part 3.2.0-1
libblockdev-swap 3.2.0-1
libbluray 1.3.4-2
libbpf 1.4.3-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.8-3
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.70-1
libcap-ng 0.8.5-2
libcdio 2.1.0-4
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.11-1
libcupsfilters 2.0.0-3
libcurl-gnutls 8.10.1-1
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-lxqt 0.1.0-1
libdca 0.0.7-2
libde265 1.0.15-2
libdecor 0.2.2-1
libdeflate 1.21-1
libdisplay-info 0.2.0-1
libdmtx 0.7.7-2
libdovi 3.3.1-1
